,Unnamed: 0,Name,Games Played,MIN,PTS,3P%,FT%,OREB,DREB,AST,STL,BLK,Age,Birth_Place,Birthdate,Collage,Experience,Height,Pos,Team,Weight,BMI,url,id
27,27,Andrew Wiggins,82,2969,1387,31.0,76.0,134,240,170,86,50,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/andrew-wiggins/andrew-wiggins.png,27
28,28,Anthony Bennett,57,894,298,30.4,64.1,52,164,48,27,16,22.0,ca,"March 14, 1993","University of Nevada, Las Vegas",1,200.0,PF,MIN,110.25,27.5625,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/anthony-bennett/anthony-bennett.png,28
29,29,Anthony Davis,68,2455,1656,8.3,80.5,173,523,149,100,200,22.0,us,"March 11, 1993",University of Kentucky,2,205.0,PF,NOH,113.85,27.09101725,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/anthony-davis/anthony-davis.png,29
30,30,Anthony Morrow,74,1806,790,43.4,88.8,40,155,60,54,11,30.0,us,"September 27, 1985",Georgia Institute of Technology,6,192.5,SG,OKC,94.5,25.50177096,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/anthony-morrow/anthony-morrow.png,30
31,31,Anthony Tolliver,76,1433,482,36.6,78.3,51,185,59,24,16,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/anthony-tolliver/anthony-tolliver.png,31
32,32,Archie Goodwin,41,535,231,29.3,73.5,27,47,44,18,9,21.0,us,"August 17, 1994",University of Kentucky,1,192.5,SG,PHO,90.0,24.28740091,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/archie-goodwin/archie-goodwin.png,32
33,33,Arinze Onuaku,6,68,27,0.0,37.5,7,14,4,1,3,28.0,us,"July 13, 1987",Syracuse University,1,202.5,C,MIN,114.75,27.98353909,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/arinze-onuaku/arinze-onuaku.png,33
34,34,Aron Baynes,70,1122,461,25.0,86.5,109,209,35,16,22,29.0,nz,"December 9, 1986",Washington State University,2,205.0,C,SAS,117.0,27.84057109,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/aron-baynes/aron-baynes.png,34
35,35,Arron Afflalo,78,2502,1035,35.4,84.3,27,220,129,41,7,30.0,us,"October 15, 1985","University of California, Los Angeles",7,192.5,SG,POR,94.5,25.50177096,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/arron-afflalo/arron-afflalo.png,35
36,36,Austin Daye,34,344,129,33.8,83.3,10,65,17,12,5,27.0,us,"June 5, 1988",Gonzaga University,5,207.5,SF,SAS,99.0,22.99317753,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/austin-daye/austin-daye.png,36
37,37,Austin Rivers,76,1563,530,29.8,67.5,27,125,155,48,14,23.0,us,"August 1, 1992",Duke University,2,190.0,SG,NOH,90.0,24.93074792,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/austin-rivers/austin-rivers.png,37
38,38,Avery Bradley,77,2428,1071,35.2,79.0,46,195,135,82,15,25.0,us,"November 26, 1990",University of Texas at Austin,4,185.0,SG,BOS,81.0,23.66691015,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/avery-bradley/avery-bradley.png,38
39,39,Ben Gordon,56,790,349,36.1,83.6,6,57,50,14,1,32.0,gb,"April 4, 1983",University of Connecticut,10,187.5,SG,ORL,90.0,25.6,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/ben-gordon/ben-gordon.png,39
40,40,Ben McLemore,82,2670,996,35.8,81.3,31,210,140,77,19,22.0,us,"February 11, 1993",University of Kansas,1,192.5,SG,SAC,87.75,23.68021589,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/ben-mclemore/ben-mclemore.png,40
41,41,Beno Udrih,79,1494,605,26.8,85.3,20,123,220,46,8,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/beno-udrih/beno-udrih.png,41
42,42,Bernard James,16,158,44,0.0,87.0,18,21,4,2,15,30.0,us,"February 7, 1985",Florida State University,2,205.0,C,DAL,108.0,25.6989887,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/bernard-james/bernard-james.png,42
43,43,Bismack Biyombo,64,1243,304,0.0,58.3,159,248,16,18,99,23.0,cd,"August 28, 1992",,3,202.5,C,CHA,114.75,27.98353909,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/bismack-biyombo/bismack-biyombo.png,43
44,44,Blake Griffin,67,2356,1469,40.0,72.8,126,382,354,63,35,26.0,us,"March 16, 1989",University of Oklahoma,4,205.0,PF,LAC,112.95,26.87685901,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/blake-griffin/blake-griffin.png,44
45,45,Bojan Bogdanovic,78,1854,700,35.5,82.1,50,163,68,34,9,26.0,ba,"April 18, 1989",,R,200.0,SF,NJN,97.2,24.3,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/bojan-bogdanovic/bojan-bogdanovic.png,45
46,46,Boris Diaw,81,1984,708,32.0,77.4,78,270,233,36,23,33.0,fr,"April 16, 1982",,11,200.0,PF,SAS,112.5,28.125,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/boris-diaw/boris-diaw.png,46
47,47,Bradley Beal,63,2107,962,40.9,78.3,57,184,194,76,18,22.0,us,"June 28, 1993",University of Florida,2,192.5,SG,WAS,93.15,25.13745994,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/bradley-beal/bradley-beal.png,47
48,48,Brandan Wright,75,1449,544,0.0,69.6,128,193,41,50,94,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/brandan-wright/brandan-wright.png,48
49,49,Brandon Bass,82,1929,866,28.1,79.0,139,259,104,41,32,30.0,us,"April 30, 1985",Louisiana State University,9,200.0,PF,BOS,112.5,28.125,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/brandon-bass/brandon-bass.png,49
50,50,Brandon Davies,27,423,142,23.5,64.9,38,45,30,18,7,24.0,us,"July 25, 1991",Brigham Young University,1,205.0,PF,PHI,108.0,25.6989887,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/brandon-davies/brandon-davies.png,50
51,51,Brandon Jennings,41,1173,632,36.0,83.9,21,83,272,44,4,26.0,us,"September 23, 1989",,5,182.5,PG,DET,76.5,22.96866204,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/brandon-jennings/brandon-jennings.png,51
52,52,Brandon Knight,63,2035,1070,38.9,87.4,28,216,330,90,10,24.0,us,"December 2, 1991",University of Kentucky,3,187.5,SG,PHO,85.05,24.192,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/brandon-knight/brandon-knight.png,52
53,53,Brandon Rush,33,271,30,11.1,45.5,4,37,12,5,12,30.0,us,"July 7, 1985",University of Kansas,6,195.0,SG,GSW,99.0,26.03550296,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/brandon-rush/brandon-rush.png,53
54,54,Brendan Haywood,22,119,35,0.0,53.8,6,23,2,2,10,36.0,us,"November 27, 1979",University of North Carolina,12,210.0,C,CLE,120.6,27.34693878,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/brendan-haywood/brendan-haywood.png,54
55,55,Brian Roberts,72,1330,480,32.1,89.2,13,96,162,33,6,30.0,us,"December 3, 1985",University of Dayton,2,182.5,PG,CHA,77.85,23.37399137,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/brian-roberts/brian-roberts.png,55
56,56,Brook Lopez,72,2100,1236,10.0,81.4,214,321,50,43,126,27.0,us,"April 1, 1988",Stanford University,6,210.0,C,NJN,123.75,28.06122449,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/brook-lopez/brook-lopez.png,56
57,57,Bruno Caboclo,8,23,10,66.7,0.0,1,1,0,0,1,20.0,br,"September 21, 1995",,R,202.5,SF,TOR,98.1,23.92318244,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/bruno-caboclo/bruno-caboclo.png,57
58,58,Bryce Cotton,15,159,80,35.0,83.3,3,15,15,4,0,23.0,us,"August 11, 1992",Providence College,R,182.5,PG,UTA,74.25,22.29311315,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/bryce-cotton/bryce-cotton.png,58
59,59,C.J. Watson,57,1422,570,40.0,82.6,18,145,208,57,9,31.0,us,"April 17, 1984",University of Tennessee,7,185.0,PG,IND,78.75,23.00949598,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/c.j.-watson/c.j.-watson.png,59
60,60,Cameron Bairstow,18,64,10,0.0,80.0,6,2,1,2,1,25.0,au,"December 7, 1990",University of New Mexico,R,202.5,PF,CHI,112.5,27.43484225,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/cameron-bairstow/cameron-bairstow.png,60
61,61,Carl Landry,70,1192,503,0.0,82.0,99,169,26,15,17,32.0,us,"September 19, 1983",Purdue University,7,202.5,PF,SAC,111.6,27.21536351,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/carl-landry/carl-landry.png,61
62,62,Carlos Boozer,71,1692,836,0.0,62.7,111,371,95,41,12,34.0,de,"November 20, 1981",Duke University,12,202.5,PF,LAL,116.1,28.3127572,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/carlos-boozer/carlos-boozer.png,62
63,63,Carmelo Anthony,40,1428,966,34.1,79.7,72,192,122,40,17,31.0,us,"May 29, 1984",Syracuse University,11,200.0,SF,NYK,108.0,27.0,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/carmelo-anthony/carmelo-anthony.png,63
64,64,Caron Butler,78,1623,460,37.9,90.2,21,175,79,43,4,35.0,us,"March 13, 1980",University of Connecticut,12,197.5,SF,DET,102.6,26.30347701,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/caron-butler/caron-butler.png,64
65,65,Cartier Martin,23,198,36,18.2,0.0,0,20,11,3,1,31.0,us,"November 20, 1984",Kansas State University,6,197.5,SF,DET,99.0,25.38054799,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/cartier-martin/cartier-martin.png,65
66,66,Chandler Parsons,66,2186,1037,38.0,72.0,64,259,161,69,19,27.0,us,"October 25, 1988",University of Florida,3,205.0,SF,DAL,103.5,24.6281975,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/chandler-parsons/chandler-parsons.png,66
67,67,Channing Frye,75,1870,549,39.3,88.6,27,266,94,47,39,32.0,us,"May 17, 1983",University of Arizona,8,207.5,PF,ORL,114.75,26.65118305,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/channing-frye/channing-frye.png,67
68,68,Charlie Villanueva,64,678,403,37.6,57.1,30,119,19,15,22,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/charlie-villanueva/charlie-villanueva.png,68
69,69,Chase Budinger,67,1286,457,36.4,82.7,33,165,64,44,10,27.0,us,"May 22, 1988",University of Arizona,5,197.5,SF,MIN,94.05,24.11152059,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/chase-budinger/chase-budinger.png,69
70,70,Chris Andersen,60,1132,320,30.8,66.7,76,223,43,26,61,37.0,us,"July 7, 1978",Blinn College,12,205.0,C,MIA,110.25,26.2343843,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/chris-andersen/chris-andersen.png,70
71,71,Chris Bosh,44,1556,928,37.5,77.2,46,264,95,41,25,31.0,us,"March 24, 1984",Georgia Institute of Technology,11,207.5,C,MIA,105.75,24.56089418,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/chris-bosh/chris-bosh.png,71
72,72,Chris Copeland,50,828,309,31.1,73.3,23,88,51,11,11,31.0,us,"March 17, 1984",University of Colorado,2,202.5,SF,IND,107.55,26.22770919,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/chris-copeland/chris-copeland.png,72
73,73,Chris Douglas-Roberts,12,103,19,14.3,100.0,1,11,4,1,0,28.0,us,"January 8, 1987",University of Memphis,5,197.5,SG,LAC,90.0,23.07322544,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/chris-douglas-roberts/chris-douglas-roberts.png,73
74,74,Chris Johnson,29,527,166,29.5,87.5,8,47,15,26,7,25.0,us,"April 29, 1990",University of Dayton,2,195.0,SF,PHI,92.7,24.37869822,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/chris-johnson/chris-johnson.png,74
75,75,Chris Kaman,74,1398,638,0.0,70.6,149,335,65,18,54,33.0,us,"April 28, 1982",Central Michigan University,11,210.0,C,POR,119.25,27.04081633,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/chris-kaman/chris-kaman.png,75
76,76,Chris Paul,82,2857,1564,39.8,90.0,52,324,838,156,15,30.0,us,"May 6, 1985",Wake Forest University,9,180.0,PG,LAC,78.75,24.30555556,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/chris-paul/chris-paul.png,76
77,77,Chuck Hayes,29,255,50,0.0,54.5,18,33,20,10,4,32.0,us,"June 11, 1983",University of Kentucky,9,195.0,C,TOR,108.0,28.40236686,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/chuck-hayes/chuck-hayes.png,77
78,78,CJ McCollum,62,973,424,39.6,69.9,14,77,64,43,8,24.0,us,"September 19, 1991",Lehigh University,1,190.0,SG,POR,90.0,24.93074792,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/cj-mccollum/cj-mccollum.png,78
79,79,CJ Miles,70,1841,942,34.5,80.7,18,196,75,60,26,28.0,us,"April 18, 1987",,9,195.0,SG,IND,101.25,26.62721893,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/cj-miles/cj-miles.png,79
80,80,CJ Wilcox,21,101,41,36.8,100.0,1,6,8,3,1,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/cj-wilcox/cj-wilcox.png,80
81,81,Cleanthony Early,39,647,210,26.2,75.0,22,75,36,24,12,24.0,us,"April 17, 1991",Wichita State University,R,200.0,SF,NYK,94.5,23.625,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/cleanthony-early/cleanthony-early.png,81
82,82,Clint Capela,12,90,32,0.0,17.4,10,26,2,1,9,21.0,ch,"May 18, 1994",,R,205.0,C,HOU,108.0,25.6989887,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/clint-capela/clint-capela.png,82
83,83,Cody Zeller,62,1487,472,100.0,77.4,97,265,100,34,49,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/cody-zeller/cody-zeller.png,83
84,84,Cole Aldrich,61,976,338,0.0,78.1,101,237,75,37,65,27.0,us,"October 31, 1988",University of Kansas,4,207.5,C,NYK,112.5,26.12861083,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/cole-aldrich/cole-aldrich.png,84
85,85,Corey Brewer,80,2087,917,26.8,74.3,80,217,173,114,19,29.0,us,"March 5, 1986",University of Florida,7,202.5,SF,MIN,83.7,20.41152263,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/corey-brewer/corey-brewer.png,85
86,86,Cory Jefferson,50,531,183,13.3,57.4,47,98,16,10,21,25.0,us,"December 26, 1990",Baylor University,R,202.5,PF,NJN,98.1,23.92318244,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/cory-jefferson/cory-jefferson.png,86
87,87,Cory Joseph,79,1444,535,36.4,73.4,44,148,188,46,17,24.0,ca,"August 20, 1991",University of Texas at Austin,3,187.5,PG,SAS,86.85,24.704,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/cory-joseph/cory-joseph.png,87
88,88,Courtney Lee,77,2354,777,40.2,86.0,21,157,151,75,12,30.0,us,"October 3, 1985",Western Kentucky University,6,192.5,SG,MEM,90.0,24.28740091,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/courtney-lee/courtney-lee.png,88
89,89,D.J. Augustin,82,1964,777,33.7,86.8,20,141,353,49,3,28.0,us,"November 10, 1987",University of Texas at Austin,6,180.0,PG,OKC,82.35,25.41666667,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/d.j.-augustin/d.j.-augustin.png,89
90,90,Dahntay Jones,33,123,21,0.0,81.8,1,10,2,3,0,35.0,us,"December 27, 1980",Duke University,10,195.0,SF,LAC,101.25,26.62721893,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dahntay-jones/dahntay-jones.png,90
91,91,Damian Lillard,82,2925,1720,34.3,86.4,49,329,507,97,21,25.0,us,"July 15, 1990",Weber State University,2,187.5,PG,POR,87.75,24.96,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/damian-lillard/damian-lillard.png,91
92,92,Damjan Rudez,68,1047,323,40.6,69.6,8,39,53,16,5,29.0,hr,"June 17, 1986",,R,205.0,SF,IND,102.6,24.41403926,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/damjan-rudez/damjan-rudez.png,92
93,93,Danilo Gallinari,59,1426,734,35.5,89.5,31,187,83,47,20,27.0,it,"August 8, 1988",,5,205.0,SF,DEN,101.25,24.0928019,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/danilo-gallinari/danilo-gallinari.png,93
94,94,Danny Granger,30,613,188,35.7,75.7,20,60,17,13,6,32.0,us,"April 20, 1983",University of New Mexico,9,202.5,SF,MIA,99.9,24.36213992,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/danny-granger/danny-granger.png,94
95,95,Danny Green,81,2312,946,41.8,87.4,54,289,158,101,87,28.0,us,"June 22, 1987",University of North Carolina,5,195.0,SG,SAS,96.75,25.44378698,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/danny-green/danny-green.png,95
96,96,Dante Cunningham,66,1652,340,10.0,61.7,70,186,50,46,37,28.0,us,"April 22, 1987",Villanova University,5,200.0,PF,NOH,103.5,25.875,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dante-cunningham/dante-cunningham.png,96
97,97,Dante Exum,82,1817,393,31.4,62.5,27,104,198,41,14,20.0,au,"July 13, 1995",,R,195.0,PG,UTA,85.5,22.485207100000004,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dante-exum/dante-exum.png,97
98,98,Darius Miller,5,43,2,0.0,0.0,0,1,2,1,0,25.0,us,"March 21, 1990",University of Kentucky,2,200.0,SF,NOH,105.75,26.4375,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/darius-miller/darius-miller.png,98
99,99,Darius Morris,38,299,83,21.2,44.4,7,20,48,9,0,24.0,us,"January 3, 1991",University of Michigan,3,190.0,PG,NJN,85.5,23.68421053,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/darius-morris/darius-morris.png,99
